,condition,var,value,reaction
0,syngas,input,12.91,cpd00011_ext_b
1,syngas,input,-12.87,cpd11640_ext_b
2,syngas,input,-31.56,cpd00204_ext_b
3,syngas,input,-0.08,cpd00084_ext_b
0,syngas,pred,4.25,cpd00029_ext_b
1,syngas,pred,3.74,cpd00363_ext_b
2,syngas,pred,0.09,cpd01947_ext_b
0,co,input,21.27,cpd00011_ext_b
1,co,input,0.47,cpd11640_ext_b
2,co,input,-34.57,cpd00204_ext_b
3,co,input,-0.08,cpd00084_ext_b
0,co,pred,3.21,cpd00029_ext_b
1,co,pred,2.57,cpd00363_ext_b
2,co,pred,0.06,cpd01947_ext_b
0,h2high,input,4.39,cpd00011_ext_b
1,h2high,input,-32.52,cpd11640_ext_b
2,h2high,input,-25.33,cpd00204_ext_b
3,h2high,input,-0.08,cpd00084_ext_b
0,h2high,pred,1.92,cpd00029_ext_b
1,h2high,pred,7.78,cpd00363_ext_b
2,h2high,pred,0.0,cpd01947_ext_b
